cnpj,optante_simples,optante_simei
28672118000185,false,false
28732200000581,false,false
29032574000123,false,false
29178753000840,false,false
29214949000176,false,false
29331679000183,false,false
29412012000105,false,false
29578442000100,false,false
29628454000193,false,false
29634122000111,false,false
29999605000110,false,false
30692829000163,false,false
30792683000128,false,false
31068172000120,false,false
31122088000229,false,false
31454301000119,false,false
31520626000152,false,false
31716386000166,false,false
31884351000136,false,false
32336808000130,false,false
32881952000158,false,false
33000167000101,false,false
33228024000151,false,false
33552527000188,false,false
33653869000194,false,false
33831884000185,false,false
33938119000169,false,false
33956768000192,false,false
34028316815506,false,false
34085325000136,false,false
34353920006570,false,false
34906210000165,false,false
35070645000185,false,false
35507610000160,false,false
35640205000116,false,false
35806848000197,false,false
35817419000115,false,false
35830361000140,false,false
36608983000190,false,false
36620939000104,false,false
36977219000192,false,false
39454917000100,false,false
41521477000108,false,false
41856790000199,false,false
42591651032932,false,false
43185362000107,false,false
45468980001838,false,false
46441986000136,false,false
46634424000109,false,false
51144194000130,false,false
52801362000185,false,false
55417372000100,false,false
56642960011063,false,false
58453994000343,false,false
59105999000186,false,false
59981829000165,false,false
60444437005458,false,false
60537263000166,false,false
61065298000102,false,false
61065751000180,false,false
61156113000175,false,false
61156931000178,false,false
61189288000189,false,false
61585865150803,false,false
62769500051569,false,false
64913536000180,false,false
67620377000114,false,false
70338991000100,false,false
73178600000118,false,false
76627504000106,false,false
76882612003132,false,false
80084809003870,false,false
80614266000163,false,false
82324864000123,false,false
82643537000134,false,false
83608646000183,false,false
86184033000154,false,false
86954211000260,false,false
87547360000196,false,false
90076886000140,false,false
93901957000190,false,false
97837181000147,false,false
10338320000100,false,false
10353021000144,false,false
10390182000299,false,false
10494550000168,false,false
10554353000197,false,false
10619255000190,false,false
10655958000255,false,false
10717560000115,false,false
10836527000104,false,false
10910017000130,false,false
10959970000172,false,false
11029958000121,false,false
11198150000178,false,false
11246879000253,false,false
11269626000114,false,false
11313957000104,false,false
11339567000103,false,false
11374746000181,false,false
11407343000191,false,false
11644948000104,false,false
11659187000156,false,false
12146352000139,false,false
12625913000182,false,false
12629983000109,false,false
13009717000146,false,false
13123638000161,false,false
13296044000152,false,false
13326261000148,false,false
13358364000190,false,false
14070575000276,false,false
14127813000151,false,false
14785152000151,false,false
14790670000163,false,false
14797004000238,false,false
14990140000240,false,false
15080957000162,false,false
15378113000100,false,false
15747974000100,false,false
16482301000139,false,false
16880856000139,false,false
16994298000132,false,false
17141969000185,false,false
17155730000164,false,false
17344597000194,false,false
17549159000162,false,false
17676180000200,false,false
17871030000176,false,false
18073887000103,false,false
18112312000152,false,false
18126628000101,false,false
18178637000138,false,false
18206251000192,false,false
18328118000109,false,false
18364885000173,false,false
18494485000182,false,false
18519353000168,false,false
18681903000140,false,false
18697955000105,false,false
19378769000176,false,false
19590280000163,false,false
19796586000170,false,false
19904771000131,false,false
19968285000187,false,false
20205338000197,false,false
20725710000196,false,false
20735381000164,false,false
20953701000233,false,false
21197014000117,false,false
21217857000138,false,false
21348660000138,false,false
21358239000108,false,false
21367254000112,false,false
21405774000172,false,false
21924657000115,false,false
21961475000114,false,false
22226635000144,false,false
22722584000141,false,false
22740826000120,false,false
22990284008047,false,false
23026538000170,false,false
23087941000100,false,false
23851666000159,false,false
23874546000177,false,false
24045670000192,false,false
24662438000101,false,false
24680105000369,false,false
25127323000171,false,false
25222838000150,false,false
25424679000177,false,false
26381998000105,false,false
26969126000162,false,false
27048383000124,false,false
27512116000166,false,false
27701564001180,false,false
27882334000192,false,false
28179636000161,false,false
28389016000157,false,false
28826378000168,false,false
29349014000105,false,false
29967522000149,false,false
30051579000182,false,false
30213493000109,false,false
30428827000161,false,false
31027906000123,false,false
31553627000101,false,false
32446535000187,false,false
32700247000107,false,false
32785497000197,false,false
33041260065290,false,false
33111246000190,false,false
33200049000147,false,false
33318839000121,false,false
33386210000119,false,false
33861525000170,false,false
33965300000164,false,false
34028316244169,false,false
34054459000190,false,false
34805138000180,false,false
35059999000129,false,false
35515232000167,false,false
35786382000105,false,false
35844987000105,false,false
35926672000107,false,false
36146166000168,false,false
36159739000198,false,false
36326358000156,false,false
36608562000160,false,false
36776783000147,false,false
37174836000112,false,false
40289378000171,false,false
40426561000171,false,false
40599834000180,false,false
42423780000122,false,false
43187418000162,false,false
45036050000167,false,false
45992724001179,false,false
49263189000102,false,false
50746577000115,false,false
50926955000142,false,false
53113791000122,false,false
54140165000198,false,false
55040042000148,false,false
56720428000163,false,false
57593832000186,false,false
57710907000161,false,false
58340183000174,false,false
58728858000157,false,false
