cnpj,saude_tributaria
34563467000161,CINZA
34566022000135,CINZA
34571919000157,CINZA
34584347000140,CINZA
34598719000198,CINZA
34682613000178,CINZA
34722662000197,CINZA
34733251000105,CINZA
34736780000154,CINZA
34749905000180,CINZA
34783405000165,CINZA
34807297000113,CINZA
34815866000172,CINZA
34816722000130,CINZA
34833924000190,CINZA
34888106000195,CINZA
34905765000192,CINZA
34912699000188,CINZA
34923968000101,CINZA
34936725000108,CINZA
34945443000177,CINZA
34979215000118,CINZA
35026123000186,CINZA
35027178000100,CINZA
35033220000104,CINZA
35094041000179,CINZA
35143211000168,CINZA
35156018000161,CINZA
35172950000188,CINZA
35181090000149,CINZA
35188206000171,CINZA
35202561000158,CINZA
35205953000170,CINZA
35244076000147,CINZA
35260481000159,CINZA
35265137000152,CINZA
35267754000197,CINZA
35275815000168,CINZA
35301535000187,CINZA
35332021000199,CINZA
35333183000141,CINZA
35367229000143,CINZA
35394908000101,CINZA
35493647000187,CINZA
35505127000147,CINZA
35585749000122,CINZA
35585886000167,CINZA
35690597000128,CINZA
35793778000180,CINZA
35803577000116,CINZA
35804320000189,CINZA
35823300000155,CINZA
35881619000137,CINZA
35923617000163,CINZA
35960710000148,CINZA
35961761000194,CINZA
35990033000100,CINZA
36005541000150,CINZA
36018411000151,CINZA
36033357000113,CINZA
36057582000190,CINZA
36078730000152,CINZA
36084893000148,CINZA
36107294000100,CINZA
36124056000103,CINZA
36142129000181,CINZA
36159055000196,CINZA
36162415000109,CINZA
36193994000157,CINZA
36213349000159,CINZA
36213497000173,CINZA
36249373000148,CINZA
36272343000152,CINZA
36279678000100,CINZA
36298004000145,CINZA
36298089000161,CINZA
36301392000176,CINZA
36307200000139,CINZA
36321176000192,CINZA
36352705000115,CINZA
36353358000145,CINZA
36357666000149,CINZA
36385587000141,CINZA
36386706000180,CINZA
36416904000140,CINZA
36439630000104,CINZA
36450270000141,CINZA
36461206000166,CINZA
36477039000141,CINZA
36494770000185,CINZA
36515886000153,CINZA
36523431000180,CINZA
36523480000112,CINZA
36545256000121,CINZA
36576623000154,CINZA
36615431000100,CINZA
36618172000170,CINZA
36661282000115,CINZA
36705059000122,CINZA
36710314000125,CINZA
36711201000144,CINZA
36736812000147,CINZA
36739409000171,CINZA
36741013000169,CINZA
36741779000143,CINZA
36744127000162,CINZA
36747041000193,CINZA
36767122000155,CINZA
36788587000192,CINZA
36820263000194,CINZA
36824029000135,CINZA
36840894000175,CINZA
36851516000197,CINZA
36852041000153,CINZA
36867812000186,CINZA
36898185000140,CINZA
36945738000179,CINZA
36946693000157,CINZA
36950380000172,CINZA
37106739000192,CINZA
39269535000106,CINZA
39447248000130,CINZA
41494170000157,CINZA
42331462000131,CINZA
43249549000127,CINZA
43283811002527,CINZA
43425818000169,CINZA
43578418000193,CINZA
46157327000172,CINZA
48555775012247,CINZA
51537413000140,CINZA
53560140000180,CINZA
54529441000104,CINZA
55571129000141,CINZA
59593368000153,CINZA
59925941000189,CINZA
60975976000373,CINZA
61391314000157,CINZA
63522940000160,CINZA
64520349000137,CINZA
67890426000562,CINZA
71087746000122,CINZA
72329519000129,CINZA
74751272000160,CINZA
76069210000106,CINZA
76489467000109,CINZA
78855830007796,CINZA
79019097000134,CINZA
80068067000105,CINZA
80333735000176,CINZA
80795370000100,CINZA
81382525000645,CINZA
83867960000180,CINZA
85778074000106,CINZA
86375425000109,CINZA
86679917000341,CINZA
87129326000525,CINZA
89463822000112,CINZA
91589374000140,CINZA
92406586000107,CINZA
92690783000109,CINZA
93117513000168,CINZA
93251767000174,CINZA
94524162000415,CINZA
95426862000197,CINZA
10476949000116,CINZA
10501140000105,CINZA
10647093000102,CINZA
10662375000170,CINZA
10693808000155,CINZA
10708474000146,CINZA
10783160000108,CINZA
10786445000100,CINZA
10819930000125,CINZA
10826359000176,CINZA
10852822000154,CINZA
10908065000193,CINZA
10910306000139,CINZA
10978710000144,CINZA
11044427000108,CINZA
11080646000142,CINZA
11107908000115,CINZA
11187640000179,CINZA
11194609000165,CINZA
11242879000102,CINZA
11247370000144,CINZA
11308371000151,CINZA
11346975000192,CINZA
11348621000187,CINZA
11421994000136,CINZA
11479255000103,CINZA
11650569000119,CINZA
11665458000186,CINZA
11681470000265,CINZA
11743573000121,CINZA
11794680000189,CINZA
11830646000112,CINZA
11833580000114,CINZA
11849922000194,CINZA
11857801000194,CINZA
11920860000160,CINZA
11928532000100,CINZA
11992680000193,CINZA
12062284000120,CINZA
12118712000199,CINZA
12264015000227,CINZA
12361267013414,CINZA
12391302000117,CINZA
12405863000128,CINZA
12448061000103,CINZA
12489876000122,CINZA
12509500000213,CINZA
12533405000174,CINZA
12572672000150,CINZA
12647446000191,CINZA
12648266000124,CINZA
12694498000119,CINZA
12697484000159,CINZA
12965180000125,CINZA
13034729000120,CINZA
13039181000101,CINZA
13083245000171,CINZA
13086460000126,CINZA
13108481000103,CINZA
13283607000178,CINZA
13352508000109,CINZA
13428673000199,CINZA
13432472000165,CINZA
13481309045374,CINZA
13558724000105,CINZA
13562121000179,CINZA
13662448000112,CINZA
13716240000139,CINZA
13718687000147,CINZA
13726675000164,CINZA
13982896000101,CINZA
14014671000116,CINZA
14039009000110,CINZA
14055068000263,CINZA
14066857000119,CINZA
14140457000106,CINZA
14247311000164,CINZA
14252495000150,CINZA
14275123000140,CINZA
14303829000178,CINZA
14317855000155,CINZA
14433051000111,CINZA
14513035000139,CINZA
14518794000194,CINZA
14552983000183,CINZA
14570911000169,CINZA
14624778000186,CINZA
14650978000103,CINZA
14661497000101,CINZA
14716433000152,CINZA
14759384000135,CINZA
14880170000112,CINZA
14947190000163,CINZA
14990643000134,CINZA
15020813000110,CINZA
15030275000145,CINZA
15065025000140,CINZA
15119758000110,CINZA
15173673000110,CINZA
15237122000173,CINZA
15277374000126,CINZA
15282557000130,CINZA
15329975000135,CINZA
15331230000100,CINZA
15364449000106,CINZA
15399177000180,CINZA
15452424000164,CINZA
15461268000106,CINZA
15507409000176,CINZA
15548702000181,CINZA
15571023000123,CINZA
15646574000109,CINZA
15671817000169,CINZA
16231979000149,CINZA
16403709000178,CINZA
16404287065524,CINZA
16480083000101,CINZA
16480084000148,CINZA
16542677000191,CINZA
16581124000148,CINZA
16707307000167,CINZA
16795735000199,CINZA
16843353000193,CINZA
16936441000130,CINZA
17053499000106,CINZA
17072413005496,CINZA
17163392000102,CINZA
17193298000104,CINZA
17210935000103,CINZA
17322195000199,CINZA
17349513000105,CINZA
17350723000113,CINZA
17411054000142,CINZA
17463325000103,CINZA
17617646000115,CINZA
17623750000112,CINZA
17659398000175,CINZA
17725723000150,CINZA
17769788000106,CINZA
17784486000107,CINZA
17804304000104,CINZA
17819169000170,CINZA
18200454000171,CINZA
18331800000150,CINZA
18357615000135,CINZA
18512248000105,CINZA
