cnpj,nivel_atividade
44186624000110,ALTO
44339405000124,ALTO
44554462000126,ALTO
44614405000195,ALTO
44919693000196,ALTO
44928898000138,ALTO
45049580000140,ALTO
45143884000171,ALTO
45250441000180,ALTO
45270959000185,ALTO
45535768000106,ALTO
45543915077990,ALTO
45565568000198,ALTO
48555775010970,ALTO
50746577000115,ALTO
50926955000142,ALTO
53113791000122,ALTO
55101638000100,ALTO
56720428000163,ALTO
60096252000198,ALTO
60597044001306,ALTO
60701190412801,ALTO
61088894000108,ALTO
62144175000120,ALTO
64720626000155,ALTO
74372921000111,ALTO
81259129000110,ALTO
85778074000106,ALTO
86375425000109,ALTO
87823811000170,ALTO
89463822000112,ALTO
89637490000145,ALTO
89850341000160,ALTO
92484450000115,ALTO
92690783000109,ALTO
94813102000170,ALTO
96628748000102,ALTO
97191902000194,ALTO
97551958000102,ALTO
10424875000174,ALTO
10578336000190,ALTO
10666707000195,ALTO
10765279000158,ALTO
10851805000100,ALTO
10890361000295,ALTO
11082945000116,ALTO
11103429000120,ALTO
11243158000109,ALTO
11833057000198,ALTO
12279384000374,ALTO
12786427000146,ALTO
12966591000135,ALTO
13001772000190,ALTO
13014628000198,ALTO
13788120000147,ALTO
13886330000178,ALTO
14037438000159,ALTO
14449951000157,ALTO
14606363000180,ALTO
14772597000105,ALTO
15287033000131,ALTO
15520417000152,ALTO
15556415000113,ALTO
15628330000101,ALTO
16614075000100,ALTO
16982389000409,ALTO
17001882000102,ALTO
17070286000184,ALTO
17161241000115,ALTO
17184037000110,ALTO
17378151000180,ALTO
17632025000100,ALTO
17835611000152,ALTO
17877932000110,ALTO
17963499000135,ALTO
18043087000140,ALTO
18060771000130,ALTO
18593815000197,ALTO
18682257000136,ALTO
18817436000133,ALTO
18890850000178,ALTO
19170366000137,ALTO
19195785000123,ALTO
19307548000107,ALTO
19526748000150,ALTO
19953667000137,ALTO
20148924000147,ALTO
20521887000170,ALTO
21023834000192,ALTO
21114479000167,ALTO
21129307000167,ALTO
21169150000101,ALTO
21403591000118,ALTO
21463703000126,ALTO
21537550000114,ALTO
21560297000110,ALTO
21655813000190,ALTO
21775320000193,ALTO
21815912000191,ALTO
21970209000158,ALTO
22401314000139,ALTO
22433021000133,ALTO
22517316000198,ALTO
22759978000174,ALTO
23578256000186,ALTO
23748511000191,ALTO
23791803000107,ALTO
24223231000122,ALTO
24337288000152,ALTO
24629740000150,ALTO
24763780000190,ALTO
24826453000130,ALTO
24865974000104,ALTO
25477116000147,ALTO
26467273000134,ALTO
27676155000107,ALTO
27824874000110,ALTO
27834646000120,ALTO
27965522000184,ALTO
28127603000178,ALTO
28129260000180,ALTO
28156532000131,ALTO
28162402000454,ALTO
28195667000106,ALTO
28454557000111,ALTO
28684030000183,ALTO
28734488000108,ALTO
29576802000126,ALTO
30168894000194,ALTO
30659964000107,ALTO
